evidence_id,record_class,schema_version,nav_section,nav_order,nav_title,primary_subject,summary,status,valid_as_of,completed_at,owner,metadata_source,migration_status,confidence,source_path
LEGACY-K3-69C2646EB6,legacy-evidence,not-applicable,installation,500,Intel Node pi Administrative Access,Intel Node pi Administrative Access Evidence,"Evidence date: 2026-07-21 Cluster: Kalaxy3 Nodes: amd64-01, amd64-02 Repository area: infrastructure/k3s-homelab Purpose: Preserve the Intel-node administrative-access design and rebuild procedure.",historical,2026-07-21,2026-07-21T18:22:52-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-intel-pi-admin-access-evidence.md
LEGACY-K3-75A63DCD5C,legacy-evidence,not-applicable,installation,500,K3s API High Availability with kube-vip,K3s API High Availability,"Project: Kalaxy3 Cluster: Kalaxy3 K3s homelab Implemented: July 16, 2026 Status: kube-vip deployed and API VIP verified Publication: Safe to commit and push",historical,2026-07-17,2026-07-17T21:30:31-05:00,not-captured,inferred,not-started,low,markdown/installation/k3s-api-ha-kube-vip.md
LEGACY-K3-F9AA96980B,legacy-evidence,not-applicable,installation,500,K3s etcd Baseline Backup,K3s etcd Baseline Backup Evidence,"Project: Kalaxy3 Cluster: Kalaxy3 K3s homelab Control-plane node: arm64-01 Evidence date: July 16, 2026 Status: Completed and verified",historical,2026-07-17,2026-07-17T21:30:31-05:00,not-captured,inferred,not-started,low,markdown/installation/k3s-etcd-baseline-backup-evidence.md
LEGACY-K3-0D6A17BF47,legacy-evidence,not-applicable,installation,500,Kubecost Installation and Verification,Kubecost Installation,"This document records the installation, configuration, correction, and verification of Kubecost on the Kalaxy3 K3s cluster.",historical,2026-07-21,2026-07-21T20:12:05-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-kubecost-installation-and-verification.md
LEGACY-K3-3C12332A51,legacy-evidence,not-applicable,installation,500,"Longhorn, Kubecost, and Intel Node Preparation","Longhorn, Kubecost,","Project: Kalaxy3 Date: July 17, 2026 Status: Ansible design checkpoint before completing the MinIO changes Document path: markdown/installation/longhorn-kubecost-intel-node-preparation.md",historical,2026-07-17,2026-07-17T20:06:00-05:00,not-captured,inferred,not-started,low,markdown/installation/longhorn-kubecost-intel-node-preparation.md
LEGACY-K3-B9C5D4B188,legacy-evidence,not-applicable,installation,500,MinIO installation and Rebuild Guide,MinIO Installation Evidence,"Project: Kalaxy3 Validated: July 17, 2026 Target path: markdown/installation/kalaxy3-minio-installation-evidence.md",historical,2026-07-17,2026-07-17T21:30:31-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-minio-installation-evidence.md
LEGACY-K3-FE8F801B54,legacy-evidence,not-applicable,installation,500,Observability and Kubecost Deployment,Observability,"Date: July 17, 2026 Repository: Kalaxy3 Target location: markdown/kalaxy3-observability-and-kubecost.md",historical,2026-07-17,2026-07-17T20:11:07-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-observability-and-kubecost.md
LEGACY-K3-17E662A712,legacy-evidence,not-applicable,installation,500,Protected Longhorn and Prometheus UI installation and Rebuild Guide,Protected Longhorn,"Project: Kalaxy3 Completed: July 20, 2026, America/Chicago Kubernetes timestamps: July 21, 2026 UTC Target path: markdown/installation/kalaxy3-protected-ui-installation-evidence.md Traefik LoadBalancer address: 192.168.2.20",historical,2026-07-20,2026-07-20T22:41:07-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-protected-ui-installation-evidence.md
LEGACY-K3-EB585211DB,legacy-evidence,not-applicable,installation,500,Protected Traefik Dashboard Installation and Rebuild Guide,Protected Traefik Dashboard Installation,"Project: Kalaxy3 Implementation date: July 20, 2026, America/Chicago Target path: markdown/installation/kalaxy3-traefik-dashboard-installation-evidence.md Traefik LoadBalancer address: 192.168.2.20 Dashboard hostname: traefik.kalaxy3.home.arpa",historical,2026-07-20,2026-07-20T23:22:35-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-traefik-dashboard-installation-evidence.md
LEGACY-K3-E90DC38388,legacy-evidence,not-applicable,installation,500,Ubuntu Installation and Node Provisioning,Ubuntu Installation,"This document describes how to install Ubuntu on both Raspberry Pi arm64 nodes and amd64 bare-metal machines, apply cloud-init configuration, validate first boot, and prepare each node for cluster use.",historical,2026-06-01,2026-06-01T19:16:12-05:00,not-captured,inferred,not-started,low,markdown/installation/old/flash.md
LEGACY-K3-C754D4A234,legacy-evidence,not-applicable,installation,500,Ubuntu Installation and Node Provisioning,Ubuntu Installation,This document describes how to provision the Ubuntu nodes for the Kalaxy3 / homelab Kubernetes cluster.,historical,2026-06-01,2026-06-01T19:16:12-05:00,not-captured,inferred,not-started,low,markdown/installation/old/ubuntu-installation-and-node-provisioning-v2.md
LEGACY-K3-CEC673BC4C,legacy-evidence,not-applicable,installation,500,Ubuntu Node Provisioning,Ubuntu Node Provisioning,This guide describes how to provision Ubuntu nodes for a mixed-architecture homelab or Kubernetes cluster. It supports both Raspberry Pi arm64 machines and Intel/AMD amd64 bare-metal machines.,historical,2026-06-01,2026-06-01T19:16:12-05:00,not-captured,inferred,not-started,low,markdown/installation/old/ubuntu-node-provisioning-fixed-amd64.md
LEGACY-K3-ECBE6536EF,legacy-evidence,not-applicable,installation,500,Ubuntu Node Provisioning,Ubuntu Node Provisioning,This guide describes how to provision Ubuntu nodes for a mixed-architecture homelab or Kubernetes cluster. It supports both Raspberry Pi arm64 machines and Intel/AMD amd64 bare-metal machines.,historical,2026-06-01,2026-06-01T19:16:12-05:00,not-captured,inferred,not-started,low,markdown/installation/old/ubuntu-node-provisioning.md
LEGACY-K3-CC31084E37,legacy-evidence,not-applicable,installation,500,Ubuntu Node Provisioning,Ubuntu Node Provisioning,Mixed Raspberry Pi arm64 cloud-init and Intel amd64 Ansible provisioning for a k3s cluster,historical,2026-07-10,2026-07-10T10:53:21-05:00,not-captured,inferred,not-started,low,markdown/installation/ubuntu-node-provisioning-fixed.md
SAGE-K3-OBSERVABILITY-20260802-001,sage-current,1.2,operations,260,Grafana operations dashboard and alerting,Grafana operations observability,"Validates repository-owned Grafana telemetry, a 20-panel operations dashboard, two actionable Prometheus alerts, their live acceptance, failure recovery, and SAGE evidence capture.",validated,2026-08-02,2026-08-02T03:43:23-05:00,Don Buddenbaum,authoritative,current,high,markdown/operations/kalaxy3-grafana-operations-dashboard-alerting-evidence.md
SAGE-K3-OBS-20260728-001,sage-current,1.2,operations,430,Stage centralized logging through SAGE guardrails,Centralized observability logging,"Documents the iterative ChatGPT-SAGE discovery, correction, validation, commit, and push cycle that made Kalaxy3 centralized logging activation-ready without deploying Loki or Fluent Bit.",validated,2026-07-28,2026-07-28T00:48:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/operations/kalaxy3-sage-observability-iterative-readiness-evidence.md
SAGE-K3-OBS-20260728-002,sage-current,1.2,operations,440,Deploy centralized logging observability,Centralized observability logging,"Documents activating and deploying Loki and Fluent Bit, correcting Grafana datasource reconciliation, and validating storage, all-node collection, Grafana health, and queryable logs.",validated,2026-07-28,2026-07-28T19:39:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/operations/kalaxy3-centralized-logging-deployment-evidence.md
SAGE-K3-GOVERNANCE-20260725-002,sage-legacy,1.1,operations,500,Canonical metadata contract and publisher enforcement,SAGE-record-schema,"Kalaxy3 SAGE metadata is now defined by a schema 1.1 machine-readable contract, a matching record standard and template, and publisher validation that rejects missing, extra, reordered, renamed, or inconsistent metadata. Every new record must contain an exact YAML field set, an exact human-readable Record metadata table, normalized timestamps, timezones,...",validated,2026-07-25,2026-07-25T17:45:00-05:00,Don Buddenbaum,inferred,recommended,high,markdown/operations/kalaxy3-sage-canonical-metadata-contract-evidence.md
SAGE-K3-GOVERNANCE-20260725-001,sage-legacy,1.0,operations,500,Repeatable Package Generation and Git Publication Process,Kalaxy3 SAGE evidence-record standard 1.0,"Kalaxy3 now has a repository-owned SAGE evidence publication process that replaces session-specific packaging and Git instructions with a stable contract. Evidence generators must produce one ZIP containing sage-package.json and a canonical payload/; scripts/sage/sage-publish.py validates package integrity, SAGE record structure, claim-to-evidence referen...",validated,2026-07-25,2026-07-25T17:22:08-05:00,Don Buddenbaum,inferred,recommended,high,markdown/operations/kalaxy3-sage-evidence-publication-process-evidence.md
SAGE-K3-DOCS-20260729-001,sage-current,1.2,operations,670,Migrate documentation publication to MkDocs Material,Kalaxy3 documentation publication,"Documents the staged replacement of Daux with MkDocs Material, strict build and navigation validation, GitHub Pages publication, rollback, and remaining review gaps.",validated,2026-07-29,2026-07-29T18:50:25-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/operations/kalaxy3-mkdocs-material-publication-migration-evidence.md
SAGE-K3-SECURITY-20260726-001,sage-current,1.2,security,30,Enforce canonical controller access across Kalaxy3,Kalaxy3 controller access baseline,Validates a repository-owned dual-controller SSH and sudo baseline across seven Kalaxy3 nodes and retires the legacy Intel pi administration path.,validated,2026-07-26,2026-07-26T21:21:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/security/kalaxy3-controller-access-baseline-sage-evidence.md
SAGE-K3-OBSERVABILITY-20260802-002,sage-current,1.2,verification,220,Centralized logging availability SLO activation,Centralized logging availability SLOs,"Verifies live Fluent Bit and Loki availability SLO recording rules, inactive alert state, lifecycle-safe activation, and guarded evidence-capture recovery.",validated,2026-08-02,2026-08-02T22:58:20-05:00,Don Buddenbaum,authoritative,current,high,markdown/verification/kalaxy3-centralized-logging-availability-slo-evidence.md
SAGE-K3-OBS-20260804-001,sage-current,1.2,verification,240,Validate active centralized logging,Centralized logging,"Validates Loki and Fluent Bit across all seven Kalaxy3 nodes, preserves failed operator paths, and records the repository-governed recovery and cluster guardrails.",validated,2026-08-04,2026-08-04T15:55:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/verification/kalaxy3-centralized-logging-runtime-validation-evidence.md
SAGE-K3-OBS-20260728-003,sage-current,1.2,verification,441,Audit centralized logging SAGE evidence quality,Centralized observability logging,Independently audits SAGE-K3-OBS-20260728-002 against the Kalaxy3 schema 1.2 quality contract and confirms it meets the generic SAGE prompt baseline while providing stronger specificity and traceability.,validated,2026-07-28,2026-07-28T20:12:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/verification/kalaxy3-centralized-logging-sage-evidence-quality-audit.md
